episode,total_demand,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48
0,1803,12,1,7,17,13,4,0,10,21,6,28,5,1,6,44,53,70,12,5,10,40,52,251,89,7,4,46,37,67,151,85,35,17,31,86,41,53,90,1,41,92,23,14,48,32,20,15,6,4
1,1885,10,0,10,17,9,3,0,11,14,9,25,6,1,5,41,59,77,12,1,16,34,72,289,109,7,5,39,46,78,145,72,40,18,23,85,47,46,95,1,63,81,32,15,46,29,20,13,6,3
2,1858,10,0,4,20,5,2,0,7,12,13,24,4,0,10,42,57,77,13,1,17,33,66,294,129,5,4,49,47,74,137,79,54,15,22,81,51,67,64,2,42,88,29,14,33,29,16,9,5,2
3,1852,7,1,5,15,8,4,0,15,16,9,27,6,4,6,49,49,74,14,1,12,32,60,303,149,6,5,42,31,73,158,81,41,18,28,65,39,72,73,0,44,77,15,13,41,25,20,11,8,0
4,1783,6,2,4,22,10,2,0,17,11,13,24,9,1,6,62,53,72,15,3,13,27,51,260,97,3,3,39,29,79,148,76,45,15,28,85,40,58,86,0,45,86,29,9,43,22,13,13,8,1
5,1817,6,1,4,17,18,6,1,18,17,7,28,10,4,11,49,48,60,18,3,16,44,52,256,120,6,1,53,30,72,128,89,42,13,32,65,33,66,80,0,55,88,24,14,48,31,13,12,8,0
6,1796,6,1,3,16,9,1,0,9,16,6,19,10,6,5,46,55,90,17,5,9,46,59,256,117,6,0,29,42,58,141,84,35,17,25,79,30,80,85,2,40,79,23,19,38,24,17,21,10,5
7,1835,9,3,6,25,9,1,1,9,13,11,34,8,1,9,49,68,70,14,1,13,31,56,275,137,6,1,41,48,64,136,103,39,18,20,78,46,65,65,1,51,65,22,18,34,27,15,12,4,3
8,1827,11,1,7,22,8,2,0,10,17,5,15,15,1,5,41,49,60,14,1,15,23,41,295,112,3,4,35,34,76,154,96,47,17,27,84,43,64,82,0,63,98,17,10,36,30,16,14,6,1
9,1796,12,0,9,24,5,3,0,14,24,13,21,6,1,2,53,62,81,20,4,10,42,62,259,104,5,6,46,43,73,121,64,42,14,29,75,33,67,59,0,55,76,25,15,52,25,18,15,6,1
10,1859,6,2,2,14,14,3,0,18,15,10,25,13,1,3,58,64,70,21,3,7,37,57,277,135,6,5,42,45,71,145,86,42,17,20,93,39,67,77,1,41,64,17,18,43,22,16,14,9,4
11,1849,10,2,5,19,11,3,0,13,19,15,34,6,0,7,52,53,81,21,1,9,31,57,267,124,3,3,50,36,64,134,99,49,20,22,52,46,61,79,1,51,84,27,15,43,33,20,11,5,1
12,1815,9,1,6,23,7,1,0,10,17,8,23,11,1,5,46,55,72,15,4,11,31,61,275,103,6,8,45,42,66,136,98,42,20,24,74,38,74,64,0,47,90,14,17,50,23,22,16,3,1
13,1798,8,0,5,19,18,2,0,9,21,10,28,10,1,3,40,57,62,18,2,8,32,54,296,143,2,4,38,36,76,105,77,40,18,27,72,44,83,61,1,49,81,22,11,46,26,15,13,5,0
14,1796,9,2,8,23,5,6,0,15,21,12,31,9,6,7,45,52,71,20,5,11,31,50,268,119,5,6,42,38,71,145,82,39,9,31,70,48,59,69,0,49,69,31,14,40,22,15,11,3,2
15,1788,9,1,10,20,14,2,0,13,17,8,22,11,3,7,47,55,77,16,3,4,30,57,282,122,6,3,41,32,75,119,74,44,16,18,84,46,85,69,0,38,84,16,7,38,29,21,7,3,3
16,1868,11,0,3,27,7,0,0,16,23,8,21,8,1,7,47,69,65,19,1,12,36,43,272,126,3,4,43,41,74,157,96,41,14,29,66,50,67,91,0,59,71,29,13,38,21,20,11,6,2
17,1845,16,1,7,28,10,2,0,11,11,7,32,13,1,5,52,53,89,25,3,5,25,63,299,126,7,5,44,37,73,122,70,43,22,33,76,37,56,71,1,52,81,15,18,30,27,19,13,9,0
18,1878,7,0,4,22,10,4,0,11,16,5,14,8,1,8,62,48,85,18,5,6,42,69,302,105,6,6,46,44,72,145,74,43,16,29,76,60,60,80,1,43,94,22,13,40,24,15,10,5,2
19,1890,15,0,10,28,8,2,0,15,17,6,32,9,5,7,49,52,91,19,1,12,38,49,314,132,4,0,45,48,71,128,81,40,12,22,64,36,75,81,0,54,85,23,8,34,22,26,13,7,0
20,1824,10,2,4,17,11,2,1,10,15,8,29,11,1,9,36,58,69,19,2,7,26,63,312,103,6,3,42,37,73,141,79,38,17,21,72,39,73,82,2,54,80,25,10,49,18,20,10,7,1
