id,type,center,bound,centroid,boundary_points,demand,envy,subsidy,Envies,Subsidies
0,suburb,"(31.766398962345733, 118.54575131803927)","(31.728215, 31.78809699999999, 118.482154, 118.583373)","(118.54575131803927, 31.766398962345733)","[(118.579356, 31.740676), (118.575298, 31.740926), (118.573014, 31.745495), (118.571706, 31.746232), (118.567235, 31.742717), (118.562158, 31.737856), (118.557187, 31.729646), (118.554754, 31.728215), (118.55313, 31.729021), (118.55002, 31.735967), (118.54692, 31.73655), (118.545102, 31.732077), (118.537311, 31.737203), (118.536293, 31.738564), (118.531119, 31.7363), (118.530118, 31.738036), (118.530022, 31.742315), (118.523979, 31.742245), (118.522126, 31.743051), (118.523592, 31.745482), (118.529407, 31.748551), (118.538699, 31.749371), (118.537522, 31.753996), (118.539753, 31.758676), (118.546305, 31.758329), (118.54735, 31.758995), (118.545488, 31.762162), (118.539674, 31.761551), (118.53667, 31.766592), (118.533851, 31.767244), (118.523601, 31.761995), (118.519745, 31.763092), (118.515319, 31.765522), (118.510769, 31.76562), (118.50593, 31.769508), (118.504323, 31.772535), (118.50319, 31.778047), (118.499711, 31.778145), (118.492738, 31.776173), (118.487389, 31.77652), (118.482154, 31.778353), (118.48442110894919, 31.78809699999999), (118.583373, 31.78809699999999), (118.583373, 31.741767852455435), (118.579356, 31.740676)]",0,0,0,[],[]
1,suburb,"(31.76312994389384, 118.64551777133337)","(31.7125536264812, 31.78809699999999, 118.583373, 118.693373)","(118.64551777133337, 31.76312994389384)","[(118.691874, 31.713641), (118.69082, 31.715086), (118.687342, 31.716169), (118.68729, 31.720963), (118.684909, 31.724895), (118.680202, 31.726464), (118.677268, 31.728576), (118.66852, 31.729312), (118.662961, 31.73041), (118.653976, 31.730146), (118.650779, 31.733577), (118.652105, 31.739773), (118.64608, 31.740356), (118.642391, 31.742287), (118.641697, 31.744009), (118.648381, 31.748801), (118.647784, 31.751037), (118.644525, 31.752246), (118.642909, 31.753857), (118.641662, 31.758245), (118.638105, 31.759051), (118.627056, 31.759468), (118.625703, 31.756246), (118.6227, 31.754037), (118.621997, 31.751871), (118.619037, 31.750065), (118.616674, 31.751496), (118.613706, 31.75469), (118.609341, 31.75719), (118.605634, 31.756232), (118.600716, 31.753982), (118.593101, 31.744412), (118.583373, 31.741767852455435), (118.583373, 31.78809699999999), (118.693373, 31.78809699999999), (118.693373, 31.7125536264812), (118.691874, 31.713641)]",0,0,0,[],[]
2,suburb,"(31.748148034190525, 118.74844405334193)","(31.70809699999999, 31.78809699999999, 118.693373, 118.803373)","(118.74844405334193, 31.748148034190525)","[(118.697697, 31.709417), (118.693373, 31.7125536264812), (118.693373, 31.78809699999999), (118.803373, 31.78809699999999), (118.803373, 31.70809699999999), (118.69650011792137, 31.70809699999999), (118.697697, 31.709417)]",0,0,0,[],[]
3,suburb,"(31.74809699999999, 118.858373)","(31.70809699999999, 31.78809699999999, 118.803373, 118.91337299999999)","(118.858373, 31.74809699999999)","[(118.803373, 31.70809699999999), (118.803373, 31.78809699999999), (118.91337299999999, 31.78809699999999), (118.91337299999999, 31.70809699999999), (118.803373, 31.70809699999999)]",0,0,0,[],[]
4,suburb,"(31.746040201156305, 118.96623132914914)","(31.70809699999999, 31.78809699999999, 118.91337299999999, 119.02337299999999)","(118.96623132914914, 31.746040201156305)","[(119.002924, 31.783435), (118.985498, 31.784448), (118.982556, 31.782976), (118.982029, 31.778047), (118.982951, 31.775243), (118.981036, 31.769383), (118.979333, 31.766911), (118.980457, 31.764661), (118.984128, 31.764064), (118.991207, 31.765522), (118.995722, 31.768619), (118.998892, 31.767203), (119.001747, 31.770022), (119.005023, 31.777756), (119.009291, 31.778686), (119.012067, 31.777367), (119.016643, 31.777325), (119.017214, 31.778478), (119.021552, 31.778603), (119.02337299999999, 31.779972167876917), (119.02337299999999, 31.70809699999999), (118.91337299999999, 31.70809699999999), (118.91337299999999, 31.78809699999999), (119.00551877312056, 31.78809699999999), (119.002924, 31.783435)]",0,0,0,[],[]
5,suburb,"(31.741509844931574, 119.06826957291383)","(31.70809699999999, 31.78809699999999, 119.02337299999999, 119.13337299999999)","(119.06826957291383, 31.741509844931574)","[(119.029677, 31.784712), (119.034964, 31.783657), (119.04165248075623, 31.78809699999999), (119.05690212967973, 31.78809699999999), (119.065757, 31.781949), (119.068884, 31.781907), (119.069709, 31.783865), (119.077105, 31.783948), (119.078185, 31.781616), (119.07714, 31.775826), (119.077842, 31.77391), (119.085791, 31.773951), (119.089893, 31.769633), (119.0928, 31.762731), (119.094003, 31.756051), (119.09677, 31.754093), (119.105412, 31.751343), (119.109242, 31.752551), (119.110823, 31.751357), (119.108882, 31.746857), (119.114432, 31.740259), (119.12058, 31.738773), (119.124998, 31.735786), (119.126746, 31.731882), (119.129267, 31.723589), (119.130909, 31.722116), (119.13337299999999, 31.72247078192146), (119.13337299999999, 31.70809699999999), (119.02337299999999, 31.70809699999999), (119.02337299999999, 31.779972167876917), (119.029677, 31.784712)]",0,0,0,[],[]
6,suburb,"(31.861712936006793, 118.47033319304839)","(31.852977232506372, 31.868096999999988, 118.466652, 118.473373)","(118.47033319304839, 31.861712936006793)","[(118.4723, 31.854355), (118.467636, 31.856728), (118.466758, 31.858032), (118.467373, 31.863095), (118.466652, 31.864982), (118.46700361621343, 31.868096999999988), (118.473373, 31.868096999999988), (118.473373, 31.852977232506372), (118.4723, 31.854355)]",0,0,0,[],[]
7,suburb,"(31.82915803056005, 118.53548656304375)","(31.78809699999999, 31.868096999999988, 118.473373, 118.583373)","(118.53548656304375, 31.82915803056005)","[(118.486124, 31.795416), (118.493186, 31.811351), (118.504735, 31.841743), (118.49835, 31.841577), (118.490612, 31.843159), (118.475444, 31.850318), (118.473373, 31.852977232506372), (118.473373, 31.868096999999988), (118.583373, 31.868096999999988), (118.583373, 31.78809699999999), (118.48442110894919, 31.78809699999999), (118.486124, 31.795416)]",0,0,0,[],[]
8,suburb,"(31.82809699999999, 118.638373)","(31.78809699999999, 31.868096999999988, 118.583373, 118.693373)","(118.638373, 31.82809699999999)","[(118.583373, 31.78809699999999), (118.583373, 31.868096999999988), (118.693373, 31.868096999999988), (118.693373, 31.78809699999999), (118.583373, 31.78809699999999)]",0,0,0,[],[]
9,suburb,"(31.82809699999999, 118.74837300000002)","(31.78809699999999, 31.868096999999988, 118.693373, 118.803373)","(118.74837300000002, 31.82809699999999)","[(118.693373, 31.78809699999999), (118.693373, 31.868096999999988), (118.803373, 31.868096999999988), (118.803373, 31.78809699999999), (118.693373, 31.78809699999999)]",0,0,0,[],[]
