id,cluster,longitude,latitude,battery_cap,chargers,charge_time,swap_time
0,28,118.616942,32.082371,22,12,60,4
1,22,118.717659,31.962686,22,12,60,4
2,22,118.708229,31.994818,13,6,60,4
3,29,118.738466,32.031021,22,12,60,4
4,21,118.673711,31.977197,13,6,60,4
5,22,118.787766,31.996166,22,12,60,4
6,29,118.739008,32.055029,13,6,60,4
7,14,118.655556,31.939097,22,12,60,4
8,28,118.66433,32.051999,13,6,60,4
9,30,118.805916,32.050946,22,12,60,4
10,16,118.832665,31.928756,13,6,60,4
11,23,118.866354,32.020153,13,6,60,4
12,23,118.875254,31.985055,13,6,60,4
13,16,118.873513,31.927816,22,12,60,4
14,36,118.834045,32.114154,13,6,60,4
15,16,118.810002,31.868176,13,6,60,4
16,8,118.594552,31.822204,13,6,60,4
17,44,118.822292,32.318994,13,6,60,4
18,22,118.706642,31.988481,22,12,60,4
19,22,118.749002,32.026699,22,12,60,4
20,23,118.816648,31.95267,22,12,60,4
21,22,118.737447,31.999904,13,6,60,4
22,16,118.893084,31.914954,22,12,60,4
23,29,118.768926,32.104,13,6,60,4
24,35,118.706875,32.1319,22,12,60,4
25,34,118.692818,32.11001,22,12,60,4
26,28,118.634159,32.066341,13,6,60,4
27,29,118.803111,32.080875,22,12,60,4
28,23,118.881866,31.951659,13,6,60,4
29,34,118.693002,32.109871,13,6,60,4
30,28,118.682572,32.061594,13,6,60,4
31,23,118.831958,32.014102,13,6,60,4
32,40,118.756703,32.245547,13,6,60,4
33,21,118.601636,31.994182,13,6,60,4
34,36,118.854702,32.14593,13,6,60,4
35,16,118.833799,31.894161,13,6,60,4
36,16,118.829051,31.935579,22,12,60,4
37,22,118.761109,31.967923,22,12,60,4
