id,cluster,area,longitude,latitude,submission,SOC
0,29,centre,118.733645,32.040956,1900-01-01 07:00:23.876235,17.151893663724195
1,20,suburb,118.526808,32.00361,1900-01-01 07:00:27.485519,17.425622253025
2,16,centre,118.816238,31.937945,1900-01-01 07:00:51.572929,15.448831829968968
3,10,centre,118.851168,31.857954,1900-01-01 07:01:08.104384,16.45894113066656
4,9,centre,118.797807,31.822212,1900-01-01 07:01:25.369960,18.917730007820797
5,13,suburb,118.52867,31.945718,1900-01-01 07:01:46.069961,13.129907777767977
6,16,centre,118.906316,31.927466,1900-01-01 07:03:04.817325,13.834415188257777
7,14,centre,118.686483,31.928299,1900-01-01 07:03:51.884209,15.288949197529044
8,37,suburb,118.940076,32.169855,1900-01-01 07:03:55.410577,11.407649163672936
9,14,centre,118.682871,31.943768,1900-01-01 07:04:17.067194,19.25596638292661
10,15,centre,118.800721,31.888113,1900-01-01 07:04:19.277755,10.871292997015408
11,29,centre,118.729344,32.073636,1900-01-01 07:04:19.890523,18.32619845547938
12,28,suburb,118.612783,32.083833,1900-01-01 07:04:22.684243,16.362741910278086
13,27,suburb,118.559663,32.099429,1900-01-01 07:05:01.820581,16.781558975859113
14,34,centre,118.625991,32.159148,1900-01-01 07:05:05.064050,18.70012148246819
15,40,centre,118.710497,32.21058,1900-01-01 07:07:00.420705,17.991585642167237
16,35,centre,118.725519,32.144084,1900-01-01 07:07:18.988589,17.805291762864556
17,22,centre,118.795493,32.024428,1900-01-01 07:07:22.764821,16.39921021327524
18,15,centre,118.764215,31.879766,1900-01-01 07:07:27.406711,19.446689170495837
19,9,centre,118.797982,31.850416,1900-01-01 07:07:49.541529,14.146619399905235
20,22,centre,118.7032,31.961484,1900-01-01 07:07:58.759940,17.742336894342166
21,22,centre,118.789993,32.008776,1900-01-01 07:08:17.032412,15.684339488686485
22,29,centre,118.77863,32.062893,1900-01-01 07:08:17.601469,16.176354970758773
23,14,centre,118.68522,31.936623,1900-01-01 07:08:46.011369,16.16933996874757
24,35,centre,118.706106,32.177051,1900-01-01 07:10:12.348821,16.818202991034834
25,35,centre,118.706106,32.177051,1900-01-01 07:10:25.714376,14.370319537993414
26,34,centre,118.676616,32.166849,1900-01-01 07:11:01.597610,10.602254716292698
27,35,centre,118.706106,32.177051,1900-01-01 07:11:34.564984,16.706378696181595
28,34,centre,118.676616,32.166849,1900-01-01 07:11:41.651185,11.289262976548534
29,34,centre,118.676616,32.166849,1900-01-01 07:11:53.020044,13.637107709426227
30,39,centre,118.680248,32.222153,1900-01-01 07:12:18.352877,14.386015134623204
31,27,suburb,118.547013,32.040467,1900-01-01 07:12:28.137854,18.17424508550935
32,27,suburb,118.552083,32.041438,1900-01-01 07:12:48.031832,12.551560524061397
33,27,suburb,118.552083,32.041438,1900-01-01 07:13:22.966578,13.938567575932888
34,43,suburb,118.696928,32.275149,1900-01-01 07:14:05.501111,12.115842015422587
35,35,centre,118.783848,32.113171,1900-01-01 07:14:31.987798,11.02044810748028
36,22,centre,118.79988,31.984765,1900-01-01 07:14:39.016843,11.613095178849962
37,40,suburb,118.763296,32.258517,1900-01-01 07:14:46.350573,18.12752422807027
