episode,total_demand,served,charged,rejection,total_rewards,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_subsidy,mean_subsidy,std_subsidy,max_envy,mean_envy,std_envy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
0,1803,1679,1398,0.068774265,44448.266,101349.7125,3950.123326,4960.940143,15,4.914585605,1.939698082,4.999942633,1.185019415,1.55033708,38.26095341,2.190861523,6.701894478,36.6,2.751492037,6.972185579,10,5.109375,1.70584645,44.18421053,20.67016062,36.78947368,20.32778484,2.103218441,2.497242174,0,0,0,1.117498576,0.276485688,0,0,3.61128665,3.51935397,0,0.696075325,1.442442426,0,0,1.393874539,1.130310474,1.566375376,0.596422409,0,6.08655245,5.014922773,2.893309877,3.337297116,1.188606702,0,0,2.955835232,1.343493638,1.194621486,2.724201754,1.049161088,0.997624491,0.902253967,0.299467754,1.685317196,0.835576403,2.385722321,4.306568315,0,1.494844004,6.780994268,8.562370916,2.373119005,4.665119222,7.830739136,9.479859075,7.32,0,0,0.48928646,0
1,1885,1773,1488,0.059416446,45962.93037,105540.1969,3747.602018,4935.319301,15,5.004885046,2.114470586,4.99678997,1.204528554,1.580621369,37.87939178,1.988117781,5.857396168,36.6,2.618206526,6.116112789,9,5.015625,1.579413665,46.65789474,22.53217152,39.15789474,22.30001925,1.979984577,2.38061736,0,0,0.839567903,0,0,0,0,3.327272727,0,1.087436952,0.066017985,4.423160216,0,0.7883989,1.011314348,0.93641971,1.430507756,1.048998951,0,9.253421485,2.106079996,2.317553968,3.78569029,1.957837969,0,0,3.400936591,1.315311938,1.821679308,2.880181022,1.956344289,1.127033672,0.856570329,0.155102034,1.843814629,1.141741374,2.116733896,4.410161796,0,2.21477131,4.285800678,5.203046058,2.534715847,3.735375202,2.628699065,9.15,9.861546066,0,0,0.656431018,9741.714639
2,1858,1766,1488,0.049515608,46802.83348,105513.6938,3874.427676,4868.988672,15,5.041447499,2.121615753,4.996665984,1.104555298,1.506613744,50.54442156,2.085267856,6.277674466,36.6,2.620553645,6.326368094,10,5.177083333,1.805632343,46.47368421,22.55255481,39.15789474,21.88309407,2.013585672,2.899100411,0,0,0,0.969365473,0,0,0,0,3.05,0,2.147987223,0,0,0.801496355,0.706888685,0.863312239,1.423694268,0,0,10.25428751,1.293315987,3.156003731,3.472011172,2.268488913,0,0,3.893051294,1.913949635,2.099841866,3.084939988,1.601358337,0.945374891,0.521522923,0.291849205,1.548854941,1.892845954,1.97868031,2.291225971,0,1.717434628,7.182351516,3.086993396,3.073964222,1.963416414,5.171859946,9.359330961,0,14.64,0,0.828493388,7341.360387
3,1852,1762,1490,0.048596112,46560.53972,104217.6844,3529.916609,4617.698739,15,4.993766587,2.058081649,4.997528586,1.210386436,1.583437945,44.72825996,1.906002489,5.777065856,36.6,2.493357851,5.919603579,10,4.9375,1.715811883,46.36842105,20.26978702,39.21052632,19.56656371,1.757221892,2.19952253,0,0,0,0,0,0,0,0,4.224223356,0,0.661570184,0.566666667,0,1.143953002,1.682111174,1.050934449,0.606793993,0,0,9.640691411,2.338600735,3.654447792,3.47017923,2.853449917,0,1.894798451,3.216983996,0.365057508,1.15524743,2.684516822,1.706764729,1.200197282,1.361334813,1.043160137,1.181612284,0.608778248,4.060956882,3.119692904,0,3.229904192,5.834274282,3.023540033,3.55092927,1.423416077,1.627169276,1.940098021,9.981818182,0,0,0.834112225,5203.9793
4,1783,1692,1439,0.051037577,44087.65702,99936.3375,3303.906571,4148.762181,15,4.94767696,2.032393424,4.999572661,1.132914277,1.544232699,39.8829703,1.853004246,5.861708984,36.6,2.326843624,6.028797842,9,5.223958333,1.526450457,44.52631579,22.30852662,37.86842105,21.38515355,1.699757283,2.26062472,0,0,0,0,0,0,0,0,3.710535631,2.120145095,0.334636946,3.326551255,0,0.995369804,1.250065373,2.060901968,0.690249363,0,0,10.12643893,1.557580919,2.258237974,3.386596471,1.415244304,0.965972728,0,4.223637325,0.523876282,1.048235551,1.992916076,1.117168656,0.685260423,0.644820136,2.529540543,1.378250822,1.860821594,1.208138618,3.101539827,0,2.020120066,8.786598456,4.347334415,2.935962896,2.339564211,0,0.07868968,8.267104547,0,0,1.271380837,4052.417245
5,1817,1692,1421,0.068794717,44746.19335,101397.2044,3776.272368,4913.347706,14.98578753,5.012889513,2.082884819,4.995685923,1.197131363,1.562243116,43.96920041,2.078300698,6.408545682,36.6,2.704098902,6.707723804,10,5.083333333,1.480193306,44.52631579,20.83738649,37.39473684,20.47146856,2.16988665,3.199991887,0,0,0,0.415920077,0.702671183,0,0,6.1,4.305882353,0.018083766,1.078466792,1.665277265,0,0.817916198,0.541327883,2.222663408,0.92247549,0.250196689,0,19.75501669,1.342871394,2.210621368,3.405555198,2.120462036,0.005571394,0,6.025134825,0.118613877,1.143752258,2.417782599,1.720464778,1.506187965,0,1.472116456,1.587467016,1.654882504,3.662295275,1.670654867,0,3.019685842,5.40662847,5.186441739,1.627582437,5.770852387,4.818257347,2.684666028,6.95,0,0,1.351238022,3576.583478
6,1796,1705,1422,0.050668151,44408.19631,103516.8919,3449.107076,4349.139732,14.99544152,4.964207029,2.02291051,4.995685923,1.304713945,1.604677402,46.04199023,1.920438238,6.019867094,36.6,2.421570007,6.109915433,9,5.0625,1.563333111,44.86842105,21.19479958,37.42105263,20.6533183,1.763037677,1.950226311,0.566666667,0,0,0,0,0,0,4.066666667,0,0,0,0.426212185,0,0,1.499459411,1.974746832,1.657515549,0.017566374,0,5.548595471,2.707302862,1.887200955,3.225715029,2.333126637,0,0,1.258545358,1.768811268,1.690688342,2.364872694,1.418112481,1.392178637,0,0.44280858,2.412320898,1.823668712,1.481141656,3.524751779,0,2.104610689,5.348274948,5.229842804,3.725062764,4.858249378,2.756950869,2.119267024,7.105613372,7.32,0.332299278,1.495790665,3306.012573
7,1835,1758,1471,0.041961853,46562.24997,106820.3063,3264.427608,4054.234953,14.92235933,5.040937838,2.155793875,4.967889991,1.266916768,1.592363003,37.16014942,1.778979623,5.394285217,36.6,2.209392345,5.27724429,10,5.041666667,1.767275838,46.26315789,19.63574106,38.71052632,19.28717585,1.568252466,2.458108899,0,0,0,0.73811062,0,0,0,0,3.076923077,0,1.856168119,0,0,0,0.951877988,1.448977754,1.026297823,0,0,15.43002897,2.123720527,1.619998209,3.669861694,2.698222783,0,0,2.965121823,2.780009634,1.087390231,1.959653461,2.123718231,0.640072872,0.863827029,0.613052292,1.493358186,1.185275996,0.68185295,2.883156909,0,3.086847454,4.60539843,1.569715346,3.411605815,1.318203033,0.154347342,2.398242885,6.383333333,0,0,1.224247713,3198.89048
8,1827,1722,1462,0.057471264,44827.76953,101060.9006,3363.079189,4812.905334,15,5.000131943,2.06846838,4.986150275,1.291507947,1.605925579,43.02453361,1.84076584,5.750415012,36.6,2.634321475,6.186898089,10,4.979166667,1.719854443,45.31578947,21.49186537,38.47368421,20.5717446,1.816269806,2.682963514,6.629892714,0,0,0.238995848,0,0,0,0,0,2.789622718,0.623971395,2.689613319,0,0,0.326171419,1.492477434,0.845774272,0.703032289,0,16.13272222,0.321129604,0.967854731,3.501843097,1.869620391,0,0,3.970259789,0.65148947,1.833593359,3.217703723,1.758649945,1.934279143,1.54177003,2.009812285,1.561415027,1.217585103,2.393306263,4.368703467,0,1.729049794,7.697212876,2.454736227,2.197338089,1.318121491,4.672483172,2.2875,0.482823137,0.566666667,0,0.977608387,3124.836778
9,1796,1705,1425,0.050668151,45334.50481,102594.78,2912.857014,4067.680857,14.79815165,4.985637373,2.082446971,4.997402632,1.147559311,1.557130659,37.1073773,1.621858026,5.60475572,36.6,2.264855711,5.971739619,8,4.9375,1.569982086,44.86842105,21.34943738,37.5,20.87273467,1.540920695,1.730945977,0,0,0.434366432,1.548908237,0,0,0,0.013241473,2.047295762,0,0.612572558,0,0,0,1.523744839,0.729030619,1.387971307,0.532264373,0,2.26595599,5.44168387,1.714177618,2.82352957,2.35764912,0,0,1.787108154,0.846030163,1.762999484,1.781551641,1.340867644,0.788456741,0.311303468,1.44754369,1.276205474,1.20998597,3.413250645,2.526342491,0,2.241967862,7.163839048,4.596615619,6.533926978,3.330709167,2.804431436,4.087180937,2.822405676,0,0,0.723891473,3084.335294
