episode,total_demand,served,charged,rejection,total_rewards,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_subsidy,mean_subsidy,std_subsidy,max_envy,mean_envy,std_envy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
0,1803,1709,1450,0.05213533,45702.46764,100499.7563,1770.148447,3009.089021,15,5.573859946,2.76806548,4.969054022,0.311668662,0.860934347,36.6,0.981779505,4.496634844,36.6,1.668934565,5.178522016,10,5.708333333,1.903487297,44.97368421,28.37390095,38.15789474,27.03070994,1.324757963,1.815571447,0,0,0,0.084236657,0,0,0,0.04871335,1.763891121,0,0.276805264,2.04,0,0,0.22545329,0.455938966,0.376788005,0,0,6.319169785,5.108914789,1.795501248,1.776732189,0.803339336,0,0,3.13283595,0.446851307,0.813713014,1.260799039,0.512779311,0.398932167,0.476927932,0.388851902,1.573781934,0.675683805,1.768379634,1.871901827,0,1.224320378,4.80693293,7.350038157,2.373119005,3.599493504,2.476409706,5.565904691,3.12,0,0,0.39932336,0
1,1885,1785,1522,0.053050398,47233.82771,104062.1194,1333.661011,2623.095195,15,5.795586121,2.919901422,4.982607581,0.327137446,0.877108858,36.6,0.707512473,3.396983403,36.6,1.391562438,4.093257658,9,5.5625,1.559997997,46.97368421,29.50600906,40.05263158,28.12373728,1.100202314,1.594617664,0,0,0,0,0,0,0,0.29019234,0,0.071671795,0.13428979,2.684167134,0,0.327210379,0.228500465,0.507014415,0.418359067,0,0,7.62695234,1.303688588,2.043570329,1.733183732,1.209088339,0,0,1.212749049,1.411977482,1.290484298,0.580015564,0.881689603,0.650216912,0.188888889,0.773381723,1.052409929,0.640334019,1.508202784,2.747031716,0,1.855993715,2.914350482,3.061803945,2.214911071,1.133707732,1.483871478,2.434686464,7.295317797,0,0,0.42869709,0
2,1858,1780,1520,0.041980624,47622.28659,104634.6919,1368.162463,2519.572084,15,5.74267202,2.834461638,4.936110554,0.269191926,0.752781975,32.50192073,0.736363005,3.437514597,36.6,1.356066784,3.831979373,9,5.541666667,1.743539663,46.84210526,28.82116028,40,27.50310987,0.88618675,1.57404345,0,0,0,0.285370205,0,0,0,0,0.20223248,0,0.652769784,0,0,0.377545955,0.159162861,0.580094422,0.314801679,0,0,8.8895494,0.271928915,1.56419328,2.221512826,0.840500722,0,0,3.271691495,0.689764278,1.103498685,0.932239702,0.792270899,0.599310409,0.313900381,0.278000553,1.502745683,1.060087617,1.126936843,0.82591384,0,1.432700109,4.22938434,0.949370252,2.373119005,0.317459021,0.250556941,5.014538175,0,0,0,0.418244693,0
3,1852,1773,1519,0.042656587,47098.53865,103138.7081,1502.876209,2720.52443,15,5.655727238,2.773577296,4.969054022,0.293618276,0.831686258,40.77409851,0.811488234,3.827906902,36.6,1.468965675,4.300933635,9,5.364583333,1.786055895,46.65789474,28.38019724,39.97368421,26.88815709,1.065671524,1.475844911,0,0,0,0,0,0,0,0,2.324611678,0,0.661570184,0.566666667,0,0.783637053,0.529632511,0.728114025,0.132179759,0,0,8.306239853,2.002773377,2.161994469,2.045012744,1.925430877,0,0.283971545,1.963798519,0.38976825,0.440441626,0.610424775,0.952285279,0.50074307,1.043243122,0.278245844,0.92045578,0.268106218,2.629177023,2.380496633,0,2.305984395,3.694132228,1.085252974,1.800910233,1.316116314,2.97426272,0.390120816,3.822104096,0,0,0.429387318,0
4,1783,1718,1468,0.036455412,45830.7851,100841.4787,1242.747109,2455.776361,15,5.659088684,2.827809225,4.955020681,0.316252795,0.879207768,36.6,0.696997818,3.542974284,36.6,1.377328301,4.180503589,10,5.635416667,1.753685356,45.21052632,29.72608096,38.63157895,28.02294272,0.947047522,1.269050274,0,0,0,0,0,0,0,0,3.710535631,0,0.248533829,2.823333956,0,0,0.332623618,0.9466328,0.348335927,0,0,3.098850762,1.367278573,2.488128382,1.92754548,1.475792228,1.133333333,0,1.376687794,0.492419212,0.53311754,0.5868628,0.744858735,0.324286924,0.127431204,0.558556877,0.955533382,1.146693656,0.686917978,2.051042906,0,1.872717134,6.58782931,1.956452499,2.223537004,0.789291102,0,2.75472219,0.7354458,0,0,0.41119843,0
5,1817,1714,1464,0.056686846,45537.03386,100333.0781,1527.379483,2706.871885,15,5.736740285,2.879172514,4.937841077,0.27967909,0.813664552,36.6,0.840605109,3.996958219,36.6,1.489747873,4.69910842,10,5.645833333,1.620051225,45.10526316,29.23839354,38.52631579,27.83384615,1.196892041,2.03000799,0,0,0,0,0.186210417,0,0,0.389323551,0.6,0,0.483691022,0.889886848,0,0.883841289,0.13841402,0.43808405,0.366341746,0.250196689,0,10.6468405,2.788881739,0.851529231,1.62304597,1.120061213,0.013016752,0,5.090467652,0,1.325299143,0.61029083,0.665312116,0.659268794,0,0.371485417,1.251663453,0.251361305,2.027201924,1.443253694,0,1.940826132,3.423528334,5.123385894,1.416379653,3.806504803,0.360577363,0.261538462,6.95,0,0,0.404485657,0
6,1796,1717,1458,0.043986637,45033.18812,101772.9225,1158.705232,2318.032437,15,5.703292994,2.814014878,4.923911333,0.33120174,0.898807252,32.93314298,0.645158815,3.08343244,35.18130586,1.290663941,3.700896398,10,5.5625,1.672775264,45.18421053,27.76106253,38.36842105,26.3462981,0.842020279,1.021640335,0.566666667,0,0,0,0,0,0,0,0,0,0,0.329588428,0,0,0.316649281,0.978574998,0.30918236,0.017566374,0,2.698794308,3.504416417,0.831316699,1.993526019,1.281320392,0,0,1.529258898,0.807246202,0.935359857,0.927560641,0.711969985,0.435152932,0,0.034805298,1.47622398,1.152446167,1.937843153,1.789206255,0,1.694527473,2.175542185,3.660218917,3.715172337,1.18551007,1.047177967,0.448459315,2.20752536,0.227885438,0.332299278,0.437627167,0
7,1835,1774,1496,0.033242507,47507.8289,106924.6538,1391.212974,2465.193407,15,5.725308244,2.87372246,4.508175238,0.350282502,0.906437267,36.6,0.758154209,3.446696063,36.6,1.343429649,3.704495959,10,5.536458333,1.784984815,46.68421053,27.55292062,39.36842105,26.31331567,1.051184224,2.328912338,0,0,0,0.233591497,0,0,0,0,0.784615385,0,0.589901431,0,0,0,0.275927576,0.787041386,0.323332444,0,0,16.07877563,0.861367728,1.354158111,1.828580127,1.905189694,0,0,1.727111396,1.56283244,0.983390075,0.883170082,0.935820661,0.399532766,0.478763167,0.223348514,1.266544771,0.644975981,1.387290803,2.642793356,0,2.334393637,1.538611903,3.666241247,2.394800416,1.348335183,0.280273268,0.653982959,1.133333333,0,0,0.564982698,0
8,1827,1740,1473,0.047619048,46139.07146,102680.0269,1515.288219,2846.391146,15,5.538542652,2.63386512,4.941888602,0.321243397,0.864554877,36.6,0.829385998,3.854838896,36.6,1.557959029,4.738485057,10,5.489583333,1.749968998,45.78947368,29.17926255,38.76315789,27.72271936,1.146887128,1.748337128,3.393229423,0,0,0.35683632,0,0,0,0,0,0.609974271,0.331791908,2.257667227,0,0,0.112655329,0.45113402,0.200850015,0,0,10.46751181,0.154738999,0.708851761,1.76887307,0.962714749,0,0,2.463144942,0.77971176,0.818416083,0.906756055,1.053951799,1.165880262,1.306247031,0.439351981,1.300093229,0.881092864,3.001882763,2.493358375,0,1.969935095,5.118102526,1.997157858,1.076447623,2.500297142,1.542105003,0.182898449,2.857142857,0.566666667,0,0.560363275,0
9,1796,1706,1446,0.050111359,45680.89543,100983.8419,1493.578761,2547.46368,15,5.559295718,2.726114149,4.894851833,0.289354312,0.829536391,36.6,0.831614009,3.842601742,36.6,1.418409622,4.391644963,10,5.609375,1.889806986,44.89473684,27.91697227,38.05263158,26.72958874,1.074673239,1.330948854,0,0,0.93368984,1.243561147,0,0,0,0.013241473,1.9610523,0.153753722,0.748626738,0,0,0,0.467843001,0.585813367,0.695328615,0.144587894,0,6.714316595,3.176531341,1.458793986,1.738404517,1.129132715,0,0,2.716942862,0.672242437,1.419901134,0.602856452,0.342997658,0.619606571,0.460695916,1.606090112,1.048869146,0.566647264,2.210932423,0.816852214,0,2.011878987,3.648530928,0.282560417,3.322366607,3.300292414,2.921311441,2.242736492,0.68,0,0,0.52557221,0
