episode,total_demand,served,charged,rejection,total_rewards,total_profits,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_envy,mean_envy,std_envy,max_subsidy,mean_subsidy,std_subsidy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,avg_cls_subsidy,std_cls_subsidy,avg_centre_envy,std_centre_envy,avg_centre_subsidy,std_centre_subsidy,avg_suburb_envy,std_suburb_envy,avg_suburb_subsidy,std_suburb_subsidy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
0,1803,1685,1412,0.065446478,46345.5609,101043.0487,101043.0487,0,5004.349495,15,4.95791167,2.037733255,4.994884315,1.139469244,1.540368492,36.6,2.775568217,7.117483706,0,0,0,10,5.083333333,1.750991782,44.34210526,21.22966682,37.15789474,20.61492346,2.035304867,2.463676846,0,0,2.01392353,4.307561789,0,0,3.908055075,9.810609434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456727505,0
1,1885,1769,1493,0.061538462,47660.91061,104539.7681,104539.7681,0,4807.328459,15,4.931931872,2.0407281,4.993089278,1.22518414,1.552187386,36.6,2.550306875,6.087029724,0,0,0,9,5.192708333,1.603819971,46.55263158,22.040271,39.28947368,21.57594652,1.777145771,2.012122637,0,0,2.339142348,4.172105088,0,0,2.882177999,8.230856251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576647573,9739.012249
2,1858,1765,1489,0.050053821,48616.12995,105343.4363,105343.4363,0,4482.856925,15,5.016363969,2.108977971,4.99819749,1.170185207,1.543473748,36.6,2.412732468,5.871683057,0,0,0,10,5.109375,1.711942009,46.44736842,21.66575927,39.18421053,21.13098905,1.669334265,2.130563207,0,0,2.256214167,4.270327091,0,0,2.675854864,7.852953791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659195457,7265.788948
3,1852,1765,1490,0.046976242,48544.13413,104773.3481,104773.3481,0,4572.284913,15,4.997274046,2.0182391,4.997528586,1.226561786,1.595386084,36.6,2.468836346,5.698219368,0,0,0,10,5.026041667,1.896913326,46.44736842,20.47038601,39.21052632,19.97782704,1.676083567,1.913527712,0,0,2.332497143,4.019895615,0,0,2.708241495,7.81150329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789421478,5358.391464
4,1783,1696,1434,0.048794167,46102.13394,100851.0075,100851.0075,0,4074.471481,15,4.963097364,2.050904559,4.996439963,1.213416655,1.585991888,36.6,2.285177499,5.770170222,0,0,0,10,5.229166667,1.737929603,44.63157895,20.99551462,37.73684211,20.35821858,1.744350796,2.07621162,0,0,1.822206637,3.375284554,0,0,3.030811391,8.226073529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68302262,4224.652049
5,1817,1679,1410,0.075949367,46140.12817,100375.9256,100375.9256,0,4904.371869,15,5.070471198,2.230621816,4.995999044,1.211985762,1.57980341,36.6,2.699158982,6.705351487,0,0,0,10,5.140625,1.657060533,44.18421053,21.37738015,37.10526316,20.83240072,2.31211264,3.492258594,0,0,2.270317167,4.574214084,0,0,3.327583892,8.917570473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684334825,3658.411627
6,1796,1703,1426,0.051781737,46030.98244,102837.735,102837.735,0,3913.339087,15,4.980593467,2.090389245,4.995685923,1.176027947,1.5708409,36.6,2.178919314,5.431687878,0,0,0,9,4.854166667,1.645569599,44.81578947,21.0085888,37.52631579,20.52435888,1.781318695,2.055475597,0,0,2.116903841,4.288338701,0,0,2.278558106,6.88060593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754515145,3358.32305
7,1835,1758,1473,0.041961853,48074.48582,106634.1244,106634.1244,0,4136.526843,15,5.005648835,2.13942689,4.990441583,1.272873704,1.600786384,36.6,2.254238062,5.393474319,0,0,0,10,4.890625,1.630923698,46.26315789,19.53496758,38.76315789,19.28516502,1.626968141,2.870296588,0,0,2.093517846,3.997838274,0,0,2.545158882,7.258304546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994031513,3191.603261
8,1827,1721,1454,0.05801861,46587.80497,101687.9644,101687.9644,0,4919.695328,15,4.965689832,2.107369728,4.986691862,1.247787109,1.594809687,36.6,2.692772484,6.36431139,0,0,0,9,4.802083333,1.753685356,45.28947368,20.26782243,38.26315789,19.5524722,2.023053655,2.692264443,0,0,2.33721601,4.505797679,0,0,3.281404494,8.567028027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78747842,3399.131126
9,1796,1700,1420,0.053452116,46781.7779,102355.1887,102355.1887,0,4444.606311,14.9981426,4.834201955,1.859924745,4.997402632,1.160338984,1.564239792,36.6,2.474725117,6.240510423,0,0,0,10,4.994791667,1.697109663,44.73684211,21.639005,37.36842105,21.32261099,1.786443643,1.791162307,0,0,1.973800297,3.537081334,0,0,3.233829677,8.834265491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679261918,3598.145496
