episode,total_demand,served,charged,rejection,total_rewards,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_subsidy,mean_subsidy,std_subsidy,max_envy,mean_envy,std_envy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
0,1803,1694,1425,0.060454798,42085.97371,100940.5819,0,4772.844455,15,4.94729515,2.033322783,4.994884315,1.13059475,1.525132841,0,0,0,36.6,2.647168305,6.758094547,10,5.072916667,1.821427964,44.57894737,21.39679216,37.5,20.67002661,1.968352335,2.352558907,0,0,0,1.033217669,0.011159379,0,0,3.66,3.51935397,0,1.015443909,3.803894359,0,0,1.775280171,0.847006425,1.653284649,0.430962353,0,4.433664919,6.447514898,2.824126035,3.410147149,1.265133435,0,0,3.177825854,0.672945856,1.160705665,2.69753736,1.046146276,0.717563074,0.858781778,0.501703654,1.678385919,0.940094422,2.044720467,3.935322692,0,1.118151304,6.854434149,6.926702799,2.257778905,2.913931532,6.822238552,10.87410484,3.12,0,0,0.439077983,0
1,1885,1762,1477,0.065251989,42357.5546,105011.5219,0,5162.394049,14.99876825,4.955157996,2.015027513,4.992152557,1.229760053,1.571126358,0,0,0,36.6,2.738670583,6.507542333,10,5.161458333,1.648855019,46.36842105,22.33055619,38.86842105,21.92951754,1.929304048,2.43296221,0,0,0.886964273,0,0,0,0,0.29019234,0,0.006431134,0.304465155,4.005659749,0,0.7883989,1.076881181,1.071804207,1.464318875,1.999515039,0,13.81781627,3.161968017,2.31125258,3.465762926,2.517152323,0,0,3.289409374,2.716354702,1.912606147,3.614224337,1.292883199,1.048635464,0.733582855,1.116041508,1.502815227,1.109817571,1.405761897,4.726961269,0,3.497116439,5.846672546,3.131883719,2.534715847,3.876996052,3.840548657,7.354903964,2.815384615,0,0,0.587328785,9359.24654
2,1858,1774,1499,0.045209903,44606.46605,105623.9606,0,4452.814528,15,5.10376735,2.173436585,4.989294766,1.209783829,1.564104254,0,0,0,36.6,2.396563255,5.627990355,10,5.265625,1.706991025,46.68421053,22.08369875,39.44736842,21.51706467,1.731749867,2.205624093,0,0,0,0.56131547,0,0,0,0,3.05,0,3.891690647,0,0,0.119454734,0.717176552,1.302238814,1.078982045,0,0,11.6023011,2.619928624,2.904074455,3.639209955,1.951241826,0,0,4.214910382,1.050531133,1.475007105,2.990530552,1.584125381,1.090817467,0.573722161,0.557188561,1.575836501,1.692914647,1.498339019,1.386507239,0,1.854541944,4.396803322,4.184489784,2.257778905,3.024027885,3.844389153,4.84566813,0,7.32,0,0.781816452,7203.979284
3,1852,1758,1480,0.05075594,43798.57715,104687.4675,0,4708.337515,15,5.026272613,2.132464033,4.998402609,1.208480885,1.598965731,0,0,0,36.6,2.542298874,6.000672597,10,4.963541667,1.757046515,46.26315789,20.25064549,38.94736842,19.79891992,1.790582335,2.188037844,0,0,0,0,0,0,0,0,4.224223356,0,1.463458942,0.984167134,0,0.341965494,1.14584962,0.815770475,0.80753748,0,0,9.411430652,1.811936075,2.623024473,3.445121583,3.237632003,0,2.110851371,2.688992484,0.5166004,1.403808759,2.371849693,2.281308594,0.895549456,1.666945685,1.767664352,1.731883985,0.576476129,4.558215433,3.638310017,0,3.426311645,4.995514931,3.065094727,2.652265459,2.193644322,4.513190689,0.390120816,9.981818182,0,0,0.77785781,5126.077602
4,1783,1690,1426,0.052159282,42229.54182,100985.04,0,4060.692261,14.8350267,4.890005253,1.93724724,4.99460413,1.158141566,1.536028743,0,0,0,36.6,2.277449389,5.862531418,10,5.182291667,1.640343891,44.47368421,21.17065601,37.52631579,20.76274097,1.783402501,1.980848517,6.1,0,0,0,0,0,0,0,3.454341583,0.654677058,0.405956073,3.571048074,0,0.995369804,1.072502779,1.997298751,0.650242292,0,0,6.906544034,1.194859683,3.113448761,3.288274415,2.263187131,2.821477424,0,3.123156596,1.836981244,1.09353582,1.903107761,1.264028873,0.740787404,1.161968911,2.967561504,1.387807367,1.881249002,1.14883846,3.373332909,0,2.095997711,7.147292005,3.081391573,2.223537004,1.445093792,0,2.75472219,8.267104547,0,0,1.12494659,3859.243927
5,1817,1684,1412,0.073197578,41764.26214,101144.9194,0,4811.66263,15,5.0433725,2.17160547,4.998306615,1.218440757,1.576813856,0,0,0,36.6,2.648135735,6.570900954,9,5.151041667,1.545524101,44.31578947,20.43102036,37.15789474,20.16840457,2.10993862,3.130411415,0,0,0,0,0.625292694,0,0,4.167680534,0.6,0.018083766,1.17597835,1.283136904,0,3.366804803,1.615374573,1.386881895,0.99653465,0.508573398,0,18.60184616,2.292545388,3.446927945,3.423036068,2.656994303,0.330898046,0,6.228966557,0.095765121,1.125109454,2.04460922,1.651064292,1.003426636,0,1.996317003,1.660761958,1.032144264,2.444015302,2.052166875,0,2.052121666,4.254793305,3.792060894,1.159313019,7.432224167,4.747543818,2.684666028,9.433333333,0,0,1.054938472,3421.633422
6,1796,1697,1423,0.055122494,41699.00698,102224.1169,0,4533.711231,15,4.960058662,2.089536076,4.995683553,1.22043615,1.58554915,0,0,0,36.6,2.524338102,6.415830267,9,5.020833333,1.594124411,44.65789474,20.57755077,37.44736842,20.31553381,2.005126978,2.421603797,6.1,0,0,0,0,0,0,4.066666667,0,0,0,0.266180812,0,0,1.349170763,1.724442141,1.602649851,0.686876227,0,7.350756127,4.700819609,1.844662545,3.28726622,1.983311725,0,0,1.074081408,0.809675685,1.15859887,2.497953993,1.366009677,1.06820345,0,0.136505291,2.167218496,1.028863601,2.816744055,4.368799299,0,1.929671937,4.600913096,6.824509966,4.164435296,4.925582488,1.649629921,2.738283858,10.30095243,7.329487159,0.332299278,1.331833292,3173.457841
7,1835,1753,1469,0.044686649,44239.02878,106533.7988,0,4275.252507,14.94587565,5.069888533,2.247978508,4.992051722,1.355107411,1.61467736,0,0,0,36.6,2.329837878,5.561715251,9,5.0625,1.526246076,46.13157895,18.87935527,38.65789474,18.62126164,1.709296728,2.704656581,0,0,0,0.836629924,0,0,0,0,3.076923077,0,1.478989502,0,0,0,1.275574934,1.175906266,1.181239816,0,0,16.09069591,1.180645161,1.956882407,3.703066999,2.827939024,0,0,3.113489129,2.253483584,1.496613755,2.202755772,1.694548112,0.494192216,0.327086446,0.223348514,1.326761796,0.840525106,2.04593841,2.929367364,0,2.192426076,5.537727741,4.418643851,2.688400828,2.217044988,1.420450081,2.398242885,9.15,0,0,1.264974225,3080.434509
8,1827,1724,1455,0.056376574,42466.73079,102255.1669,0,5007.541174,15,5.072048426,2.169789785,4.985190961,1.290153839,1.624286652,0,0,0,36.6,2.740854502,6.320676064,10,5.005208333,1.675489343,45.36842105,21.11425192,38.28947368,20.39337856,1.961673795,2.487778979,6.639054671,0,0,0.584865458,0,0,0,0,0,2.41258567,0.761736383,3.996281427,0,0,0.158058909,1.063355615,0.576083789,0.57589125,0,12.67987186,0.549375805,2.214839686,3.648148128,1.789247308,0,0,2.364647301,0.965148643,2.242141297,2.810493339,1.775666385,0.994070734,1.643363645,1.174720322,1.919582784,1.844392428,3.097583965,3.72863174,0,2.743734089,8.360705861,0.667832693,3.821803357,3.567601547,5.880176713,2.2875,0.482823137,6.1,0,0.882117015,3017.350349
9,1796,1700,1410,0.053452116,42800.5527,103469.7131,0,4211.135585,14.72566102,5.006747304,2.099519198,4.997402632,1.284801418,1.625264462,0,0,0,36.6,2.344730281,6.018177624,10,4.776041667,1.685368703,44.73684211,19.91387272,37.10526316,19.73213979,1.678189844,1.665979487,0,0,1.357687066,0.899976211,0,0,0,2.614285714,3.475,0.119804263,0.845905957,0,0,0,1.452204754,1.073642809,1.352253358,0.326906217,0,4.318474798,2.034477775,2.212181768,3.146343728,2.165928369,0,0,4.608892853,0.625656674,1.27633184,1.734547178,1.156271953,0.962399367,0.995497158,1.758783314,1.293049864,1.400832631,3.88440085,2.759519257,0,2.778109667,6.103945934,3.371598773,2.98804918,3.748804362,2.532431436,5.977107282,4.88,0,0,0.708439213,2908.170971
10,1859,1765,1476,0.05056482,45117.75472,106306.5956,0,4779.038066,15,4.998994852,2.120704374,4.998755504,1.236606021,1.606243976,0,0,0,36.6,2.570757432,6.195555002,10,4.958333333,1.752478404,46.44736842,19.01896196,38.84210526,18.79463293,1.970306286,2.365543308,0,0,0,0,0.203277399,0,0,0,2.841364619,0.109614654,0.903222447,1.238846369,0,0,1.053762998,2.357939176,0.954263407,0.242926859,0,5.264615445,2.813444673,4.234104869,3.124479524,2.452615679,0,0,2.834482002,3.631616532,1.958362169,2.948478128,1.230880889,0.975756179,1.331678602,0.151866792,1.992208664,0.851657428,2.695080908,2.410969054,0,1.915046836,8.939963747,3.992453139,1.307059868,2.519847205,3.18906896,5.283576599,10.45714286,8.133333333,0,0.829240657,2906.906911
11,1849,1750,1496,0.053542455,43289.0472,102944.43,0,4716.061153,15,4.924214015,1.996458904,4.999942633,1.262761862,1.596636681,0,0,0,36.6,2.550600948,6.217188112,10,4.963541667,1.705910057,46.05263158,20.35209464,39.36842105,20.07803337,1.883717602,2.191652448,0,0,0,0.990772205,0.909147196,0,0,0.221362508,0,0,0.790176908,2.986997008,0,4.935653706,1.046191585,0.755921756,1.619902246,0.647513369,0,8.173554152,0.573656113,2.546780951,3.737949146,1.943315325,0,0,5.219756944,1.373226354,1.876665091,2.221417587,1.708720541,0.664662449,0.829051491,0.273293152,0.879889272,2.286328661,2.691783142,2.725585078,0,2.334911133,7.234222755,2.000924773,2.534715847,5.754522079,3.647226363,7.202729259,6.963636364,0,0,0.819737537,2827.754958
