episode,total_demand,served,charged,rejection,total_rewards,total_profits,total_revenues,total_subsidies,total_envies,max_wait,mean_wait,std_wait,max_detour,mean_detour,std_detour,max_envy,mean_envy,std_envy,max_subsidy,mean_subsidy,std_subsidy,max_queue,mean_queue,std_queue,avg_station_serve,std_station_serve,avg_station_charge,std_station_charge,avg_cls_envy,std_cls_envy,avg_cls_subsidy,std_cls_subsidy,avg_centre_envy,std_centre_envy,avg_centre_subsidy,std_centre_subsidy,avg_suburb_envy,std_suburb_envy,avg_suburb_subsidy,std_suburb_subsidy,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,run_time,loss
0,1803,1679,1412,0.068774265,37020.26165,100084.5544,100084.5544,0,4922.675608,15,4.937034284,2.0112712,4.994630718,1.154882444,1.540829569,36.6,2.730269334,6.996193145,0,0,0,10,5.177083333,1.704740887,44.18421053,21.19813207,37.15789474,20.66464858,2.004028495,2.606044645,0,0,2.185000113,4.836942318,0,0,3.541028258,9.264910443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755437852,0
1,1885,1774,1498,0.058885942,38398.08155,104652.0056,104652.0056,0,4855.626731,15,5.010915325,2.09917452,4.995293189,1.163196037,1.534352178,36.6,2.5759293,6.233921382,0,0,0,9,4.989583333,1.561214749,46.68421053,22.22386728,39.42105263,21.57804876,1.937683005,2.312640199,0,0,2.166406529,3.925882562,0,0,3.219544898,8.662407686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.007123907,9364.72079
2,1858,1775,1503,0.04467169,38928.92513,105431.1975,105431.1975,0,4833.56761,15,4.957762811,2.028170003,4.995685923,1.231408152,1.564935571,36.6,2.601489564,6.306557353,0,0,0,10,5.098958333,1.582982075,46.71052632,21.61372358,39.55263158,20.98457751,1.704904394,2.270049403,0,0,2.173973455,4.096380981,0,0,3.320185477,8.809155175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807548448,7124.054092
3,1852,1753,1482,0.053455724,38314.84928,103650.9262,103650.9262,0,5027.573053,15,5.007474468,2.076086293,4.986366093,1.233522,1.600448973,36.6,2.714672275,6.397346759,0,0,0,9,5.067708333,1.848591513,46.13157895,20.90476029,39,20.2964866,1.825608192,2.149989435,0,0,2.415902425,4.531343939,0,0,3.239297905,8.735167503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.122129048,5027.227221
4,1783,1691,1435,0.05159843,36764.95987,100130.385,100130.385,0,4575.15396,15,4.899711576,1.959897516,4.999572661,1.218667515,1.582678095,36.6,2.565986517,6.327540293,0,0,0,9,4.96875,1.464532953,44.5,21.39078749,37.76315789,20.6963437,1.884527492,2.351726624,0,0,2.026130895,3.749933325,0,0,3.435446525,8.980394087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939805567,3775.909349
5,1817,1692,1421,0.068794717,37555.59086,101465.19,101465.19,0,4777.548618,14.65441497,4.928061263,1.970374116,4.986043901,1.141471767,1.536651581,36.6,2.629360825,6.664003457,0,0,0,10,5.046875,1.568867235,44.52631579,20.99591043,37.39473684,20.81059886,2.091066666,3.025838388,0,0,2.010403135,4.117865489,0,0,3.53638159,9.124319189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030406833,3410.607984
6,1796,1706,1421,0.050111359,39128.8841,103936.1812,103936.1812,0,4104.867737,14.64128025,5.004614866,2.066016652,4.995683553,1.23140549,1.581669309,36.6,2.285561101,5.770921269,0,0,0,9,4.984375,1.621716434,44.89473684,20.89168743,37.39473684,20.17885745,1.782773851,1.906119431,0,0,2.015379928,3.876950931,0,0,2.7196548,7.896598027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.114167777,3152.784908
7,1835,1764,1471,0.038692098,41048.46662,107707.335,107707.335,0,4195.425951,14.94000072,5.010732724,2.056563839,4.990441583,1.24750107,1.599714103,36.6,2.286335668,5.447358243,0,0,0,10,5.052083333,1.651197745,46.42105263,20.68387572,38.71052632,20.42690163,1.63227848,2.757568575,0,0,2.229139606,4.32718907,0,0,2.389866672,7.033932089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.639454375,3009.549572
8,1827,1724,1446,0.056376574,37720.19513,103040.7637,103040.7637,0,4898.249032,14.99497193,5.018850381,2.081890082,4.995197331,1.247446668,1.587996259,36.6,2.681033953,6.220342472,0,0,0,10,5.020833333,1.752849862,45.36842105,20.61478909,38.05263158,19.92346853,1.852256999,2.733751163,0,0,2.353540988,4.344208731,0,0,3.223206172,8.428194884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298138367,2963.560387
9,1796,1693,1420,0.057349666,38694.17651,101502.9563,101502.9563,0,4158.799646,15,5.016687924,2.100716421,4.997402632,1.161241715,1.574466141,36.6,2.315590004,5.986276397,0,0,0,10,5.239583333,1.748480243,44.55263158,21.63172301,37.36842105,21.05684168,1.667249311,1.726550797,0,0,1.985806542,4.115767871,0,0,2.815345893,8.003498738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965950082,2760.739413
